failure_cause,analysis_decision
Sealant / Gasket aging,"EXACT_MATCH because the retrieved context data matches exactly the target system context in terms of Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Rear end cover (flywheel side)), Function ('Seals the crankcase'), Failure Mode (Oil leakage), and Failure Cause (Sealant / Gasket aging). Measures are derived exclusively from the matching retrieved data."
Sealant / Gasket design,"EXACT_MATCH - The target system context matches exactly with retrieved data entries for Product: Gas Engine Type 4, Subsystem: Engine Block, System Element: Rear end cover (flywheel side), Function: Seals the crankcase, Failure Mode: Oil leakage, and Failure Cause: Sealant / Gasket design. Therefore, only measures from this exact context are used."
Wrong maintenance activity plan,"EXACT_MATCH because the retrieved context data includes multiple exact matches where Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Rear end cover (flywheel side)), Function (Seals the crankcase), Failure Mode (Oil leakage), Failure Cause (Wrong maintenance activity plan), and Failure Effect (Loss of oil pressure) correspond precisely to the target system context. The retrieved data provides specific preventive measures but no detective measures for this failure cause in this exact context."
Assembly process / Design for assembly,"EXACT_MATCH because the retrieved context includes failure cases for 'Gas Engine Type 4', 'Engine Block' subsystem, with 'Rear end cover (flywheel side)' system element, 'Seals the crankcase' function (also close 'Seals the crankshaft'), failure mode 'Oil leakage', and failure cause 'Assembly process / Design for assembly', matching the target system context exactly."
Bolted joint design,"EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block subsystem, Rear end cover (flywheel side) as system element, sealing function with oil leakage failure mode caused by bolted joint design) exactly matches multiple retrieved data entries with the same product, subsystem, system element, function, failure mode, and failure cause."
Crankcase design,"SIMILAR_CONTEXT - The target failure cause 'Crankcase design' for the system element 'Rear end cover (flywheel side)' in the 'Engine Block' subsystem of the 'Gas Engine Type 4' product matches the retrieved failure cause context of 'Crankcase design' related to similar oil leakage failure modes in the same product category and subsystem, but for a different system element ('Front end housing (damper housing)'). Since the failure cause and failure mode ('Oil leakage' caused by 'Crankcase design') are the same and within the same product category and subsystem, preventive and detective measures from the retrieved data for 'Front end housing (damper housing)' are applicable and transferable but must be filtered for relevance to the 'Rear end cover (flywheel side)' context. The retrieved data shows no direct measures for the rear end cover for Oil leakage caused by crankcase design, but multiple related preventive and detective measures for similar failure modes and causes exist. Preventive measures mainly include design activities, tolerance specification and simulations, while detective measures include various MCE functional tests and endurance/assembly tests. These remain applicable given the similarity in function (sealing the crankcase) and failure cause."
Geometry tolerances / wrong tolerance specification,"SIMILAR_CONTEXT because the target system context (Gas Engine Type 4, Engine Block, Rear end cover (flywheel side), function seals the crankcase, failure mode oil leakage, and failure cause geometry tolerances / wrong tolerance specification) matches system element, function, failure mode, and failure cause with other retrieved data for the Rear end cover (flywheel side) component. Although some retrieved data shows slight variation in function naming ('seals the crankshaft' or 'seals the crankcase') within the same element and product subsystem, the context is sufficiently similar to transfer applicable measures. Preventive and detective measures extracted are technically applicable without contradiction and adhere to FMEA standards without inventing new measures."
O-Ring aging,"EXACT_MATCH based on same Product (Gas Engine Type 4), Subsystem (Engine Block), System Element (Rear end cover (flywheel side)), Function (Seals the crankcase / crankshaft), Failure Mode (Oil leakage), and Failure Cause (O-Ring aging). Measures are directly retrieved from identical context in the knowledge base."
Sealant / Gasket aging,"EXACT_MATCH - The retrieved context data includes multiple exact matches for the specified target system context: Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Rear end cover (flywheel side)', Function 'Seals the crankcase', Failure Mode 'Oil leakage' and Failure Cause 'Sealant / Gasket aging'. All match perfectly in context and cause. Therefore, only the retrieved measures for this exact context are used for generation, strictly following the measure requirements."
Wrong maintenance activity plan,"EXACT_MATCH because the target system context matches exactly the retrieved context data on Product 'Gas Engine Type 4', Subsystem 'Engine Block', System Element 'Rear end cover (flywheel side)', Function 'Seals the crankcase', Failure Mode 'Blow-by leakage (or the other way around)', and Failure Cause 'Wrong maintenance activity plan'. The retrieved data provides multiple preventive measures and a detective measure specifically for this exact match scenario."
Assembly process / Design for assembly,"EXACT_MATCH: The target system context (Gas Engine Type 4, Engine Block subsystem, Rear end cover (flywheel side), function sealing the crankcase, failure mode Blow-by leakage, failure cause Assembly process / Design for assembly) exactly matches the retrieved context entries with the same product, subsystem, system element, function, failure mode, and failure cause combination. Therefore, only the measures explicitly found for this exact combination are used."
Bolted joint design,"EXACT_MATCH because the target system context (Gas Engine Type 4, Engine Block, Rear end cover (flywheel side), function seals the crankcase, failure mode blow-by leakage, failure cause bolted joint design) exactly matches retrieved context data entries in terms of product, subsystem, system element, function, failure mode, and failure cause. Therefore, only relevant preventive and detective measures from the exact matching data are used without extrapolation."
